,GTCBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,GEREG,GESTFIPS,state
0,33860,-1,-1,13,2,2,45,1,1,4,3,1,1
1,33860,-1,-1,13,1,2,43,1,1,4,3,1,1
2,33860,-1,-1,13,2,2,40,6,1,4,3,1,1
3,33860,-1,-1,13,2,2,36,6,1,4,3,1,1
4,33860,-1,-1,14,2,2,44,1,1,2,3,1,1
5,33860,-1,-1,14,1,2,44,1,1,2,3,1,1
6,33860,-1,-1,13,1,2,39,2,6,1,3,1,1
7,33860,-1,-1,10,2,1,39,3,4,2,3,1,1
8,33860,-1,-1,10,2,1,39,3,4,2,3,1,1
9,19300,-1,-1,13,2,1,39,1,1,2,3,1,1
10,19300,-1,-1,13,1,1,39,1,1,2,3,1,1
11,19300,-1,-1,16,1,1,44,4,3,4,3,1,1
12,19300,-1,-1,16,2,1,43,4,3,4,3,1,1
13,19300,-1,-1,16,2,1,36,6,3,4,3,1,1
14,19300,-1,-1,16,2,1,36,6,3,4,3,1,1
15,19300,-1,-1,7,2,1,39,1,1,2,3,1,1
16,19300,-1,-1,7,1,1,40,1,1,2,3,1,1
17,19300,-1,-1,5,2,1,41,4,7,1,3,1,1
18,19300,-1,-1,13,2,1,39,1,1,4,3,1,1
19,19300,-1,-1,13,1,1,39,1,1,4,3,1,1
20,19300,-1,-1,13,2,1,35,6,1,4,3,1,1
21,19300,-1,-1,13,2,1,-1,-1,1,4,3,1,1
22,19300,-1,-1,13,2,1,40,1,1,4,3,1,1
23,19300,-1,-1,13,1,1,39,1,1,4,3,1,1
24,19300,-1,-1,13,2,1,-1,-1,1,4,3,1,1
25,19300,-1,-1,13,2,1,-1,-1,1,4,3,1,1
26,13820,-1,-1,8,1,1,35,1,1,2,3,1,1
27,13820,-1,-1,8,2,1,36,1,1,2,3,1,1
28,0,-1,-1,14,1,1,39,1,1,2,3,1,1
29,0,-1,-1,14,2,1,39,1,1,2,3,1,1
