,GTCBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,GEREG,GESTFIPS,state
0,49740,-1,-1,1,1,3,40,4,6,1,4,4,4
1,30780,-1,-1,1,2,1,34,1,1,6,3,5,5
2,30780,-1,-1,1,1,1,39,1,1,6,3,5,5
3,30780,-1,-1,1,1,1,-1,-1,1,6,3,5,5
4,30780,-1,-1,1,2,1,-1,-1,1,6,3,5,5
5,30780,-1,-1,1,2,1,-1,-1,1,6,3,5,5
6,30780,-1,-1,1,1,1,-1,-1,1,6,3,5,5
7,30780,-1,-1,14,2,2,43,4,4,3,3,5,5
8,30780,-1,-1,14,1,2,35,6,4,3,3,5,5
9,30780,-1,-1,14,2,2,43,6,4,3,3,5,5
10,30780,-1,-1,14,1,1,43,4,6,1,3,5,5
11,31080,-1,-1,3,1,1,39,1,1,2,4,6,6
12,31080,-1,-1,3,2,1,41,1,1,2,4,6,6
13,23580,-1,-1,12,2,1,42,1,1,3,3,13,13
14,23580,-1,-1,12,1,1,42,1,1,3,3,13,13
15,23580,-1,-1,12,1,1,40,6,1,3,3,13,13
16,23580,-1,-1,15,1,1,44,1,1,2,3,13,13
17,23580,-1,-1,15,2,1,43,1,1,2,3,13,13
18,35620,-1,-1,4,2,1,44,4,7,1,1,34,34
19,0,-1,-1,9,2,1,42,5,4,2,4,2,2
20,0,-1,-1,9,1,1,-1,-1,4,2,4,2,2
21,0,-1,-1,7,2,3,39,1,1,2,4,2,2
22,0,-1,-1,7,1,1,40,1,1,2,4,2,2
23,35620,-1,-1,12,1,1,43,1,1,2,1,36,36
24,35620,-1,-1,12,2,1,43,1,1,2,1,36,36
25,35620,-1,-1,15,1,1,42,2,6,1,1,36,36
26,41180,-1,-1,11,2,2,42,5,4,3,2,17,17
27,41180,-1,-1,11,1,2,-1,-1,4,3,2,17,17
28,41180,-1,-1,11,1,2,-1,-1,4,3,2,17,17
29,0,-1,-1,14,1,1,40,1,1,2,2,27,27
30,0,-1,-1,14,2,1,40,1,1,2,2,27,27
31,0,-1,-1,9,2,1,41,3,4,2,2,27,27
32,0,-1,-1,9,2,1,-1,-1,4,2,2,27,27
33,12420,-1,-1,16,1,1,43,1,1,3,3,48,48
34,12420,-1,-1,16,2,1,43,1,1,3,3,48,48
35,12420,-1,-1,16,2,1,-1,-1,1,3,3,48,48
36,28660,-1,-1,8,2,1,41,3,7,1,3,48,48
37,33860,-1,-1,16,2,1,40,1,1,2,3,1,1
38,33860,-1,-1,16,1,1,39,1,1,2,3,1,1
39,0,-1,-1,10,1,1,39,1,1,3,4,30,30
40,0,-1,-1,10,2,1,39,1,1,3,4,30,30
41,0,-1,-1,10,1,1,39,6,1,3,4,30,30
42,24340,-1,-1,16,2,1,40,1,1,2,2,26,26
43,24340,-1,-1,16,1,1,39,1,1,2,2,26,26
44,41860,-1,-1,16,2,1,44,4,4,2,4,6,6
45,41860,-1,-1,16,2,1,40,6,4,2,4,6,6
46,34980,-1,-1,15,2,2,42,1,1,2,3,47,47
47,34980,-1,-1,15,1,2,43,1,1,2,3,47,47
48,34980,-1,-1,13,2,1,46,1,1,5,3,47,47
49,34980,-1,-1,13,1,1,44,1,1,5,3,47,47
50,34980,-1,-1,13,1,1,-1,-1,1,5,3,47,47
51,34980,-1,-1,13,2,1,-1,-1,1,5,3,47,47
52,34980,-1,-1,13,2,1,-1,-1,1,5,3,47,47
53,39820,-1,-1,16,2,1,43,1,1,4,4,6,6
54,39820,-1,-1,16,1,1,40,1,1,4,4,6,6
55,39820,-1,-1,16,1,1,-1,-1,1,4,4,6,6
56,39820,-1,-1,16,1,1,-1,-1,1,4,4,6,6
57,16980,-1,-1,15,2,1,41,4,7,1,2,17,17
58,16980,-1,-1,14,2,1,44,1,1,2,2,18,18
59,16980,-1,-1,14,1,1,43,1,1,2,2,18,18
60,16980,-1,-1,16,2,1,40,1,1,3,2,18,18
61,16980,-1,-1,16,1,1,40,1,1,3,2,18,18
62,16980,-1,-1,16,2,2,-1,-1,1,3,2,18,18
63,0,-1,-1,12,2,1,40,1,1,2,2,38,38
64,0,-1,-1,12,1,1,39,1,1,2,2,38,38
65,0,-1,-1,11,2,1,40,3,7,1,2,38,38
66,18580,-1,-1,14,2,1,39,3,7,1,3,48,48
67,27140,-1,-1,15,1,1,37,1,1,5,3,28,28
68,27140,-1,-1,15,2,1,39,1,1,5,3,28,28
69,27140,-1,-1,15,1,1,39,6,1,5,3,28,28
70,27140,-1,-1,15,1,1,39,6,1,5,3,28,28
71,27140,-1,-1,15,2,1,39,6,1,5,3,28,28
72,14020,-1,-1,11,2,1,44,6,7,1,2,18,18
73,0,-1,-1,15,2,1,44,1,1,2,4,16,16
74,0,-1,-1,15,1,1,44,1,1,2,4,16,16
75,12060,-1,-1,1,1,1,39,6,6,1,3,13,13
76,12060,-1,-1,13,1,2,39,4,6,1,3,13,13
77,12060,-1,-1,8,2,2,40,6,4,4,3,13,13
78,12060,-1,-1,8,1,2,-1,-1,4,4,3,13,13
79,12060,-1,-1,8,1,2,-1,-1,4,4,3,13,13
80,12060,-1,-1,8,2,2,-1,-1,4,4,3,13,13
81,33860,-1,-1,10,1,1,43,1,1,2,3,1,1
82,33860,-1,-1,10,2,1,40,1,1,2,3,1,1
83,22520,-1,-1,15,2,1,39,1,1,2,3,1,1
84,22520,-1,-1,15,1,1,39,1,1,2,3,1,1
85,13820,-1,-1,4,2,1,40,3,7,1,3,1,1
86,13820,-1,-1,1,2,1,39,4,7,1,3,1,1
87,22520,-1,-1,7,2,1,39,1,1,2,3,1,1
88,22520,-1,-1,7,1,1,36,1,1,2,3,1,1
89,26620,-1,-1,14,1,1,42,6,6,1,3,1,1
90,26620,-1,-1,15,2,1,40,1,1,2,3,1,1
91,26620,-1,-1,15,1,1,43,1,1,2,3,1,1
92,22520,-1,-1,12,1,1,35,5,3,3,3,1,1
93,22520,-1,-1,12,1,1,36,6,3,3,3,1,1
94,22520,-1,-1,12,1,1,36,6,3,3,3,1,1
95,22520,-1,-1,7,2,6,39,6,4,2,3,1,1
96,22520,-1,-1,7,2,6,-1,-1,4,2,3,1,1
97,13820,-1,-1,11,1,1,39,1,1,4,3,1,1
98,13820,-1,-1,11,2,1,40,1,1,4,3,1,1
99,13820,-1,-1,11,1,1,39,1,1,4,3,1,1
100,13820,-1,-1,11,2,1,36,1,1,4,3,1,1
101,22520,-1,-1,4,2,1,37,4,7,1,3,1,1
102,26620,-1,-1,11,2,1,40,1,1,2,3,1,1
103,26620,-1,-1,11,1,1,40,1,1,2,3,1,1
104,13820,-1,-1,12,1,1,40,1,1,2,3,1,1
105,13820,-1,-1,12,2,1,40,1,1,2,3,1,1
106,33860,-1,-1,14,1,2,43,6,6,2,3,1,1
107,33860,-1,-1,14,2,2,43,6,6,2,3,1,1
108,26620,-1,-1,8,1,1,42,1,1,2,3,1,1
109,26620,-1,-1,8,2,1,43,1,1,2,3,1,1
110,33860,-1,-1,15,2,2,44,6,7,1,3,1,1
111,0,-1,-1,7,1,1,41,6,3,3,3,1,1
112,0,-1,-1,7,2,1,39,6,3,3,3,1,1
113,0,-1,-1,7,2,1,-1,-1,3,3,3,1,1
114,13820,-1,-1,16,1,1,39,1,1,3,3,1,1
115,13820,-1,-1,16,2,1,42,1,1,3,3,1,1
116,13820,-1,-1,16,2,1,-1,-1,1,3,3,1,1
117,33860,-1,-1,9,1,2,41,6,3,2,3,1,1
118,33860,-1,-1,9,2,2,46,4,3,2,3,1,1
119,0,-1,-1,14,1,1,39,6,6,1,3,1,1
120,0,-1,-1,11,1,2,39,6,3,3,3,1,1
121,0,-1,-1,11,2,2,39,6,3,3,3,1,1
122,0,-1,-1,11,1,2,39,6,3,3,3,1,1
123,22520,-1,-1,4,2,1,39,3,7,1,3,1,1
124,0,-1,-1,15,1,1,43,1,1,2,3,1,1
125,0,-1,-1,15,2,1,39,1,1,2,3,1,1
126,26620,-1,-1,16,1,2,44,6,3,3,3,1,1
127,26620,-1,-1,16,1,2,35,6,3,3,3,1,1
128,26620,-1,-1,16,1,2,39,6,3,3,3,1,1
129,12220,-1,-1,8,2,2,40,6,4,2,3,1,1
130,12220,-1,-1,8,1,2,39,6,4,2,3,1,1
131,33660,-1,-1,15,2,2,40,1,1,5,3,1,1
132,33660,-1,-1,15,1,2,40,1,1,5,3,1,1
133,33660,-1,-1,15,1,2,35,6,1,5,3,1,1
134,33660,-1,-1,15,2,2,-1,-1,1,5,3,1,1
135,33660,-1,-1,15,1,2,-1,-1,1,5,3,1,1
136,0,-1,-1,9,2,1,44,1,1,4,3,1,1
137,0,-1,-1,9,1,1,43,1,1,4,3,1,1
138,0,-1,-1,9,1,1,-1,-1,1,4,3,1,1
139,0,-1,-1,9,2,1,-1,-1,1,4,3,1,1
140,33860,-1,-1,13,2,2,43,6,7,1,3,1,1
141,33660,-1,-1,15,1,1,40,1,1,3,3,1,1
142,33660,-1,-1,15,2,1,40,1,1,3,3,1,1
143,33660,-1,-1,15,2,1,-1,-1,1,3,3,1,1
144,33860,-1,-1,13,2,1,44,6,7,2,3,1,1
145,33860,-1,-1,13,1,1,39,6,7,2,3,1,1
146,13820,-1,-1,14,1,1,43,1,1,2,3,1,1
147,13820,-1,-1,14,2,1,43,1,1,2,3,1,1
148,33860,-1,-1,13,2,1,43,3,7,1,3,1,1
149,33860,-1,-1,8,1,2,44,4,6,1,3,1,1
150,0,-1,-1,7,1,1,36,1,1,6,3,1,1
151,0,-1,-1,7,2,1,37,1,1,6,3,1,1
152,0,-1,-1,7,1,1,37,6,1,6,3,1,1
