,GTCBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,GEREG,GESTFIPS,state
0,49740,-1,-1,9,2,1,43,1,1,4,4,4,4
1,49740,-1,-1,9,1,1,41,1,1,4,4,4,4
2,49740,-1,-1,9,2,1,-1,-1,1,4,4,4,4
3,49740,-1,-1,9,1,1,-1,-1,1,4,4,4,4
4,49740,-1,-1,1,1,3,40,4,6,1,4,4,4
5,30780,-1,-1,1,2,1,34,1,1,6,3,5,5
6,30780,-1,-1,1,1,1,39,1,1,6,3,5,5
7,30780,-1,-1,1,1,1,-1,-1,1,6,3,5,5
8,30780,-1,-1,1,2,1,-1,-1,1,6,3,5,5
9,30780,-1,-1,1,2,1,-1,-1,1,6,3,5,5
10,30780,-1,-1,1,1,1,-1,-1,1,6,3,5,5
11,30780,-1,-1,14,2,2,43,4,4,3,3,5,5
12,30780,-1,-1,14,1,2,35,6,4,3,3,5,5
13,30780,-1,-1,14,2,2,43,6,4,3,3,5,5
14,35620,-1,-1,4,2,1,44,4,7,1,1,34,34
15,49340,-1,-1,15,2,1,44,3,7,1,1,25,25
16,0,-1,-1,7,2,3,39,1,1,2,4,2,2
17,0,-1,-1,7,1,1,40,1,1,2,4,2,2
18,35620,-1,-1,15,1,1,42,2,6,1,1,36,36
19,32820,-1,-1,15,1,1,39,1,1,2,3,47,47
20,32820,-1,-1,15,2,1,39,1,1,2,3,47,47
21,12420,-1,-1,16,1,1,43,1,1,3,3,48,48
22,12420,-1,-1,16,2,1,43,1,1,3,3,48,48
23,12420,-1,-1,16,2,1,-1,-1,1,3,3,48,48
24,33860,-1,-1,16,2,1,40,1,1,2,3,1,1
25,33860,1,12,16,1,1,39,1,1,2,3,1,1
26,0,-1,-1,13,2,1,40,3,7,1,4,30,30
27,0,-1,-1,9,1,1,39,6,3,2,4,30,30
28,0,-1,-1,9,1,1,39,4,3,2,4,30,30
29,24340,-1,-1,16,2,1,40,1,1,2,2,26,26
30,24340,-1,-1,16,1,1,39,1,1,2,2,26,26
31,41860,-1,-1,16,2,1,44,4,4,2,4,6,6
32,41860,-1,-1,16,2,1,40,6,4,2,4,6,6
33,24340,-1,-1,9,1,2,44,5,6,1,2,26,26
34,34980,-1,-1,15,2,2,42,1,1,2,3,47,47
35,34980,-1,-1,15,1,2,43,1,1,2,3,47,47
36,26620,-1,-1,14,1,1,44,4,6,1,3,1,1
37,26620,-1,-1,15,2,1,43,1,1,4,3,1,1
38,26620,-1,-1,15,1,1,44,1,1,4,3,1,1
39,26620,-1,-1,15,2,1,-1,-1,1,4,3,1,1
40,26620,-1,-1,15,2,1,-1,-1,1,4,3,1,1
41,39820,-1,-1,16,2,1,43,1,1,4,4,6,6
42,39820,-1,-1,16,1,1,40,1,1,4,4,6,6
43,39820,-1,-1,16,1,1,-1,-1,1,4,4,6,6
44,39820,-1,-1,16,1,1,-1,-1,1,4,4,6,6
45,16980,-1,-1,15,2,1,41,4,7,1,2,17,17
46,16980,-1,-1,14,2,1,44,1,1,2,2,18,18
47,16980,-1,-1,14,1,1,43,1,1,2,2,18,18
48,16980,-1,-1,16,2,1,40,1,1,3,2,18,18
49,16980,-1,-1,16,1,1,40,1,1,3,2,18,18
50,16980,-1,-1,16,2,2,-1,-1,1,3,2,18,18
51,0,-1,-1,12,2,1,40,1,1,2,2,38,38
52,0,-1,-1,12,1,1,39,1,1,2,2,38,38
53,0,-1,-1,11,2,1,40,3,7,1,2,38,38
54,18580,-1,-1,14,2,1,39,3,7,1,3,48,48
55,27140,-1,-1,15,1,1,37,1,1,5,3,28,28
56,27140,-1,-1,15,2,1,39,1,1,5,3,28,28
57,27140,-1,-1,15,1,1,39,6,1,5,3,28,28
58,27140,-1,-1,15,1,1,39,6,1,5,3,28,28
59,27140,-1,-1,15,2,1,39,6,1,5,3,28,28
60,0,-1,-1,3,1,1,34,6,6,1,2,38,38
61,0,-1,-1,15,2,1,44,1,1,2,4,16,16
62,0,-1,-1,15,1,1,44,1,1,2,4,16,16
63,0,-1,-1,14,1,1,40,1,1,4,2,19,19
64,0,-1,-1,14,2,1,39,1,1,4,2,19,19
65,0,-1,-1,14,2,1,-1,-1,1,4,2,19,19
66,0,-1,-1,14,1,1,-1,-1,1,4,2,19,19
67,12060,-1,-1,13,1,4,44,3,6,1,3,13,13
68,12060,-1,-1,1,1,1,39,6,6,1,3,13,13
69,12060,-1,-1,1,1,1,39,6,6,2,3,13,13
70,12060,-1,-1,1,2,1,39,6,6,2,3,13,13
71,0,-1,-1,10,2,1,37,4,7,2,3,13,13
72,0,-1,-1,10,1,1,39,4,7,2,3,13,13
73,0,-1,-1,11,1,1,40,6,3,2,2,19,19
74,0,-1,-1,11,1,1,39,6,3,2,2,19,19
75,33860,-1,-1,10,1,1,43,1,1,2,3,1,1
76,33860,-1,-1,10,2,1,40,1,1,2,3,1,1
77,22520,-1,-1,15,2,1,39,1,1,2,3,1,1
78,22520,-1,-1,15,1,1,39,1,1,2,3,1,1
79,13820,-1,-1,4,2,1,40,3,7,1,3,1,1
80,13820,-1,-1,11,1,1,41,1,1,2,3,1,1
81,13820,-1,-1,11,2,1,39,1,1,2,3,1,1
82,13820,-1,-1,16,2,1,40,1,1,6,3,1,1
83,13820,-1,-1,16,1,1,39,1,1,6,3,1,1
84,13820,-1,-1,16,1,1,36,6,1,6,3,1,1
85,13820,-1,-1,16,1,1,34,6,1,6,3,1,1
86,13820,-1,-1,16,1,1,40,6,1,6,3,1,1
87,13820,-1,-1,16,2,1,-1,-1,1,6,3,1,1
88,33860,-1,-1,7,2,2,40,5,4,3,3,1,1
89,33860,-1,-1,7,1,2,39,6,4,3,3,1,1
90,33860,-1,-1,7,1,2,-1,-1,4,3,3,1,1
91,26620,-1,-1,14,1,1,42,6,6,1,3,1,1
92,26620,-1,-1,15,2,1,40,1,1,2,3,1,1
93,26620,-1,-1,15,1,1,43,1,1,2,3,1,1
94,22520,-1,-1,12,1,1,35,5,3,3,3,1,1
95,22520,-1,-1,12,1,1,36,6,3,3,3,1,1
96,22520,-1,-1,12,1,1,36,6,3,3,3,1,1
97,22520,-1,-1,7,2,6,39,6,4,2,3,1,1
98,22520,-1,-1,7,2,6,-1,-1,4,2,3,1,1
99,13820,-1,-1,15,2,1,37,1,1,6,3,1,1
100,13820,-1,-1,15,1,1,37,1,1,6,3,1,1
101,13820,-1,-1,15,2,1,-1,-1,1,6,3,1,1
102,13820,-1,-1,15,2,1,-1,-1,1,6,3,1,1
103,13820,-1,-1,15,2,1,-1,-1,1,6,3,1,1
104,13820,-1,-1,15,1,1,-1,-1,1,6,3,1,1
105,22520,-1,-1,4,2,1,37,4,7,1,3,1,1
106,26620,-1,-1,11,2,1,40,1,1,2,3,1,1
107,26620,-1,-1,11,1,1,40,1,1,2,3,1,1
108,13820,-1,-1,9,1,2,39,1,1,6,3,1,1
109,13820,-1,-1,9,2,2,37,1,1,6,3,1,1
110,13820,-1,-1,9,2,2,-1,-1,1,6,3,1,1
111,13820,-1,-1,9,2,2,-1,-1,1,6,3,1,1
112,13820,-1,-1,9,1,2,37,6,1,6,3,1,1
113,13820,1,1,9,2,1,39,6,1,6,3,1,1
114,33860,-1,-1,14,1,2,43,6,6,2,3,1,1
115,33860,-1,-1,14,2,2,43,6,6,2,3,1,1
116,26620,-1,-1,8,1,1,42,1,1,2,3,1,1
117,26620,-1,-1,8,2,1,43,1,1,2,3,1,1
118,26620,-1,-1,13,2,1,43,4,7,1,3,1,1
119,33860,-1,-1,15,2,2,44,6,7,1,3,1,1
120,0,-1,-1,7,1,1,41,6,3,3,3,1,1
121,0,-1,-1,7,2,1,39,6,3,3,3,1,1
122,0,-1,-1,7,2,1,-1,-1,3,3,3,1,1
123,13820,-1,-1,16,1,1,39,1,1,3,3,1,1
124,13820,-1,-1,16,2,1,42,1,1,3,3,1,1
125,13820,-1,-1,16,2,1,-1,-1,1,3,3,1,1
126,0,-1,-1,5,1,7,37,4,6,1,3,1,1
127,22520,-1,-1,15,2,1,43,6,4,2,3,1,1
128,22520,-1,-1,15,1,1,39,6,4,2,3,1,1
