,GTCBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,GEREG,GESTFIPS,state
0,26620,-1,-1,12,2,1,43,3,7,1,3,1,1
1,30780,-1,-1,8,1,2,40,3,6,1,3,5,5
2,36420,-1,-1,1,2,1,40,4,4,4,3,40,40
3,36420,-1,-1,1,2,1,-1,-1,4,4,3,40,40
4,36420,-1,-1,1,2,1,-1,-1,4,4,3,40,40
5,36420,-1,-1,1,2,1,-1,-1,4,4,3,40,40
6,0,-1,-1,13,1,1,41,1,1,3,2,31,31
7,0,-1,-1,13,2,1,41,1,1,3,2,31,31
8,0,-1,-1,13,2,1,-1,-1,1,3,2,31,31
9,23580,-1,-1,16,1,1,43,1,1,3,3,13,13
10,23580,-1,-1,16,2,1,43,1,1,3,3,13,13
11,23580,-1,-1,16,2,1,-1,-1,1,3,3,13,13
12,35620,-1,-1,16,1,1,43,1,1,4,1,34,34
13,35620,-1,-1,16,2,1,43,1,1,4,1,34,34
14,35620,-1,-1,16,2,1,45,6,1,4,1,34,34
15,35620,-1,-1,16,1,1,43,6,1,4,1,34,34
16,35620,-1,-1,16,1,1,46,1,1,9,1,34,34
17,35620,-1,-1,16,2,1,43,1,1,9,1,34,34
18,35620,-1,-1,16,2,1,43,6,1,9,1,34,34
19,35620,-1,-1,16,2,1,40,6,1,9,1,34,34
20,35620,-1,-1,16,2,1,38,6,1,9,1,34,34
21,35620,-1,-1,16,2,1,35,6,1,9,1,34,34
22,35620,-1,-1,16,2,1,43,3,1,9,1,34,34
23,35620,-1,-1,16,1,1,40,6,1,9,1,34,34
24,35620,-1,-1,16,1,1,41,6,1,9,1,34,34
25,30780,-1,-1,6,1,1,39,4,6,1,3,5,5
26,30780,-1,-1,4,2,2,40,4,7,1,3,5,5
27,49340,-1,-1,11,1,1,39,1,1,2,1,25,25
28,49340,-1,-1,11,2,1,39,1,1,2,1,25,25
29,30780,-1,-1,14,2,1,40,4,7,2,3,5,5
30,30780,-1,-1,14,1,1,41,3,7,2,3,5,5
31,14260,-1,-1,7,2,1,40,4,7,1,4,16,16
32,35620,-1,-1,12,2,1,44,1,1,3,1,36,36
33,35620,-1,-1,12,1,1,43,1,1,3,1,36,36
34,35620,-1,-1,12,1,1,44,6,1,3,1,36,36
35,0,-1,-1,8,2,1,34,1,1,6,2,18,18
36,0,-1,-1,8,1,1,34,3,1,6,2,18,18
37,0,-1,-1,8,1,1,-1,-1,1,6,2,18,18
38,0,-1,-1,8,1,1,-1,-1,1,6,2,18,18
39,0,-1,-1,8,1,1,34,1,1,6,2,18,18
40,0,-1,-1,8,2,1,-1,-1,1,6,2,18,18
41,0,-1,-1,12,1,1,44,6,6,1,2,19,19
42,0,-1,-1,14,1,2,39,4,6,1,2,29,29
43,0,-1,-1,13,2,1,44,1,1,4,1,50,50
44,0,-1,-1,13,1,1,43,1,1,4,1,50,50
45,0,-1,-1,13,2,1,39,6,1,4,1,50,50
46,0,-1,-1,13,2,2,-1,-1,1,4,1,50,50
47,48700,-1,-1,14,2,1,44,1,1,5,1,42,42
48,48700,-1,-1,14,1,1,43,1,1,5,1,42,42
49,48700,-1,-1,14,1,1,39,6,1,5,1,42,42
50,48700,-1,-1,14,2,1,39,4,1,5,1,42,42
51,48700,-1,-1,14,2,1,-1,-1,1,5,1,42,42
52,17900,-1,-1,3,1,2,39,4,3,2,3,45,45
53,17900,-1,-1,3,1,2,39,6,3,2,3,45,45
54,24340,-1,-1,8,2,1,40,3,7,1,2,26,26
55,34980,-1,-1,6,1,1,40,1,1,2,3,47,47
56,34980,-1,-1,6,2,1,40,1,1,2,3,47,47
57,34980,-1,-1,7,1,1,37,6,3,2,3,47,47
58,34980,-1,-1,7,2,1,39,4,3,2,3,47,47
59,26620,-1,-1,16,1,1,43,4,6,2,3,1,1
60,26620,-1,-1,16,2,1,43,4,6,2,3,1,1
61,12060,-1,-1,15,2,1,39,6,7,2,3,13,13
62,12060,-1,-1,15,1,1,39,6,7,2,3,13,13
63,11700,-1,-1,15,1,1,40,1,1,2,3,37,37
64,11700,-1,-1,15,2,1,44,1,1,2,3,37,37
65,11700,-1,-1,10,1,1,44,3,6,1,3,37,37
66,27140,-1,-1,15,1,1,43,1,1,2,3,28,28
67,27140,-1,-1,15,2,1,43,1,1,2,3,28,28
68,14020,-1,-1,15,2,1,44,3,7,1,2,18,18
69,17980,-1,-1,1,2,1,32,5,7,1,3,13,13
70,0,-1,-1,6,2,2,32,5,7,1,3,13,13
71,41180,-1,-1,12,2,1,39,4,7,2,2,17,17
72,41180,-1,-1,12,1,1,39,4,7,2,2,17,17
73,26620,-1,-1,13,2,2,43,4,4,2,3,1,1
74,26620,-1,-1,13,2,2,39,6,4,2,3,1,1
75,22520,-1,-1,15,2,1,40,1,1,2,3,1,1
76,22520,-1,-1,15,1,1,39,1,1,2,3,1,1
77,13820,-1,-1,13,2,1,39,5,4,2,3,1,1
78,13820,-1,-1,13,2,1,35,6,4,2,3,1,1
79,33860,-1,-1,16,1,1,43,1,1,2,3,1,1
80,33860,-1,-1,16,2,1,40,1,1,2,3,1,1
81,13820,-1,-1,15,2,1,39,1,1,3,3,1,1
82,13820,-1,-1,15,1,1,39,1,1,3,3,1,1
83,13820,-1,-1,15,2,1,40,6,1,3,3,1,1
84,22520,-1,-1,11,2,1,42,4,4,2,3,1,1
85,22520,-1,-1,11,2,1,42,6,4,2,3,1,1
86,13820,-1,-1,16,1,1,44,1,1,2,3,1,1
87,13820,-1,-1,16,2,1,43,1,1,2,3,1,1
88,22520,-1,-1,13,1,1,39,4,6,5,3,1,1
89,22520,-1,-1,13,2,1,39,6,6,5,3,1,1
90,22520,-1,-1,13,2,1,-1,-1,6,5,3,1,1
91,22520,-1,-1,13,2,1,-1,-1,6,5,3,1,1
92,22520,-1,-1,13,2,1,-1,-1,6,5,3,1,1
93,33860,-1,-1,10,1,2,39,1,1,6,3,1,1
94,33860,-1,-1,10,2,1,42,1,1,6,3,1,1
95,33860,-1,-1,10,1,6,-1,-1,1,6,3,1,1
96,33860,-1,-1,10,1,6,-1,-1,1,6,3,1,1
97,33860,-1,-1,10,1,6,-1,-1,1,6,3,1,1
98,33860,-1,-1,10,1,6,-1,-1,1,6,3,1,1
99,22520,-1,-1,13,2,1,40,2,4,3,3,1,1
100,22520,-1,-1,13,2,1,-1,-1,4,3,3,1,1
101,22520,-1,-1,13,2,1,-1,-1,4,3,3,1,1
102,26620,-1,-1,13,1,1,43,6,6,1,3,1,1
103,33860,-1,-1,11,2,1,39,1,1,2,3,1,1
104,33860,-1,-1,11,1,1,39,1,1,2,3,1,1
105,0,-1,-1,9,2,1,40,4,4,2,3,1,1
106,0,-1,-1,9,1,1,40,6,4,2,3,1,1
107,13820,-1,-1,7,2,1,35,1,1,3,3,1,1
108,13820,-1,-1,7,1,1,35,1,1,3,3,1,1
109,13820,-1,-1,7,1,1,37,4,1,3,3,1,1
110,13820,-1,-1,4,1,1,38,4,3,2,3,1,1
111,13820,-1,-1,4,1,1,38,6,3,2,3,1,1
112,13820,-1,-1,14,2,1,39,1,1,6,3,1,1
113,13820,-1,-1,14,1,1,39,1,1,6,3,1,1
114,13820,-1,-1,14,1,1,-1,-1,1,6,3,1,1
115,13820,-1,-1,14,2,1,-1,-1,1,6,3,1,1
116,13820,-1,-1,14,1,1,-1,-1,1,6,3,1,1
117,13820,-1,-1,14,2,1,-1,-1,1,6,3,1,1
118,13820,-1,-1,12,2,2,43,4,4,2,3,1,1
119,13820,-1,-1,12,1,2,43,4,4,2,3,1,1
120,13820,-1,-1,9,1,1,39,1,1,2,3,1,1
121,13820,-1,-1,9,2,1,39,1,1,2,3,1,1
122,13820,-1,-1,7,2,1,40,1,1,2,3,1,1
123,13820,-1,-1,7,1,1,34,1,1,2,3,1,1
124,0,-1,-1,15,2,1,42,1,1,2,3,1,1
125,0,-1,-1,15,1,1,42,1,1,2,3,1,1
126,33860,-1,-1,14,2,7,43,6,7,1,3,1,1
127,13820,-1,-1,15,2,1,40,4,4,3,3,1,1
128,13820,-1,-1,15,1,1,39,4,4,3,3,1,1
129,13820,-1,-1,15,1,1,40,4,4,3,3,1,1
130,22520,-1,-1,3,2,2,39,6,4,3,3,1,1
131,22520,-1,-1,3,2,2,-1,-1,4,3,3,1,1
132,22520,-1,-1,3,1,2,-1,-1,4,3,3,1,1
133,0,-1,-1,13,2,1,43,1,2,3,3,1,1
134,0,-1,-1,13,1,1,39,1,2,3,3,1,1
135,0,-1,-1,13,1,1,-1,-1,2,3,3,1,1
136,22520,-1,-1,12,1,2,32,1,1,3,3,1,1
137,22520,-1,-1,12,2,2,39,1,1,3,3,1,1
138,22520,-1,-1,12,1,2,38,6,1,3,3,1,1
139,22520,-1,-1,3,2,1,39,4,4,2,3,1,1
140,22520,-1,-1,3,2,1,39,6,4,2,3,1,1
141,26620,-1,-1,15,2,1,42,1,1,3,3,1,1
142,26620,-1,-1,15,1,1,43,1,1,3,3,1,1
143,26620,-1,-1,15,1,1,-1,-1,1,3,3,1,1
144,12220,-1,-1,3,2,1,40,6,7,2,3,1,1
