,GTCBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,GEREG,GESTFIPS,state
0,39820,-1,-1,14,1,1,40,6,6,2,4,6,6
1,39820,-1,-1,14,2,1,43,6,6,2,4,6,6
2,49740,-1,-1,9,2,1,43,1,1,4,4,4,4
3,49740,-1,-1,9,1,1,41,1,1,4,4,4,4
4,49740,-1,-1,9,2,1,-1,-1,1,4,4,4,4
5,49740,-1,-1,9,1,1,-1,-1,1,4,4,4,4
6,49740,-1,-1,1,1,3,40,4,6,1,4,4,4
7,30780,-1,-1,8,1,2,40,3,6,1,3,5,5
8,30780,-1,-1,7,2,1,43,1,1,2,3,5,5
9,30780,-1,-1,7,1,1,44,1,1,2,3,5,5
10,36420,-1,-1,1,2,1,40,4,4,4,3,40,40
11,36420,-1,-1,1,2,1,-1,-1,4,4,3,40,40
12,36420,-1,-1,1,2,1,-1,-1,4,4,3,40,40
13,36420,-1,-1,1,2,1,-1,-1,4,4,3,40,40
14,35620,-1,-1,16,2,1,43,1,1,3,1,34,34
15,35620,-1,-1,16,1,1,43,1,1,3,1,34,34
16,35620,-1,-1,16,1,1,-1,-1,1,3,1,34,34
17,30780,-1,-1,11,1,1,39,4,6,1,3,5,5
18,49340,-1,-1,15,2,1,44,3,7,1,1,25,25
19,30780,-1,-1,14,2,1,40,4,7,2,3,5,5
20,30780,-1,-1,14,1,1,41,3,7,2,3,5,5
21,14260,-1,-1,7,2,1,40,4,7,1,4,16,16
22,32820,-1,-1,15,1,1,39,1,1,2,3,47,47
23,32820,-1,-1,15,2,1,39,1,1,2,3,47,47
24,30780,-1,-1,4,2,2,39,6,4,2,3,5,5
25,30780,-1,-1,4,2,2,-1,-1,4,2,3,5,5
26,12420,-1,-1,16,1,1,43,1,1,3,3,48,48
27,12420,-1,-1,16,2,1,43,1,1,3,3,48,48
28,12420,-1,-1,16,2,1,-1,-1,1,3,3,48,48
29,0,-1,-1,3,2,1,39,4,7,1,2,39,39
30,0,-1,-1,13,2,1,40,3,7,1,4,30,30
31,0,-1,-1,9,1,1,39,6,3,2,4,30,30
32,0,-1,-1,9,1,1,39,4,3,2,4,30,30
33,17900,-1,-1,3,1,2,39,4,3,2,3,45,45
34,17900,-1,-1,3,1,2,39,6,3,2,3,45,45
35,24340,-1,-1,9,1,2,44,5,6,1,2,26,26
36,0,-1,-1,11,2,1,41,3,4,4,3,21,21
37,0,-1,-1,11,2,1,34,6,4,4,3,21,21
38,0,-1,-1,11,2,1,-1,-1,4,4,3,21,21
39,0,-1,-1,11,1,1,-1,-1,4,4,3,21,21
40,34980,-1,-1,15,2,2,42,1,1,2,3,47,47
41,34980,-1,-1,15,1,2,43,1,1,2,3,47,47
42,40420,-1,-1,11,2,1,43,1,1,2,2,17,17
43,40420,-1,-1,11,1,1,43,1,1,2,2,17,17
44,34980,-1,-1,7,1,1,37,6,3,2,3,47,47
45,34980,-1,-1,7,2,1,39,4,3,2,3,47,47
46,26620,-1,-1,14,1,1,44,3,6,1,3,1,1
47,26620,-1,-1,15,2,1,43,1,1,4,3,1,1
48,26620,-1,-1,15,1,1,44,1,1,4,3,1,1
49,26620,-1,-1,15,2,1,-1,-1,1,4,3,1,1
50,26620,-1,-1,15,2,1,-1,-1,1,4,3,1,1
51,20700,-1,-1,15,2,1,40,6,7,2,1,42,42
52,20700,-1,-1,15,1,6,42,6,7,2,1,42,42
53,39820,-1,-1,15,2,1,43,1,1,4,4,6,6
54,39820,-1,-1,15,1,1,40,1,1,4,4,6,6
55,39820,-1,-1,15,1,1,-1,-1,1,4,4,6,6
56,39820,-1,-1,15,1,1,-1,-1,1,4,4,6,6
57,11700,-1,-1,9,1,1,39,3,6,1,3,37,37
58,0,-1,-1,1,1,1,40,6,6,2,2,38,38
59,0,-1,-1,1,2,1,40,6,6,2,2,38,38
60,0,-1,-1,3,1,1,34,6,6,1,2,38,38
61,0,-1,-1,5,2,1,39,6,4,3,4,4,4
62,0,-1,-1,5,2,1,-1,-1,4,3,4,4,4
63,0,-1,-1,5,1,1,36,6,4,3,4,4,4
64,0,-1,-1,14,1,1,40,1,1,4,2,19,19
65,0,-1,-1,14,2,1,39,1,1,4,2,19,19
66,0,-1,-1,14,2,1,-1,-1,1,4,2,19,19
67,0,-1,-1,14,1,1,-1,-1,1,4,2,19,19
68,16980,-1,-1,13,2,1,40,1,1,7,2,17,17
69,16980,-1,-1,13,1,1,40,1,1,7,2,17,17
70,16980,2,1,13,1,1,37,6,1,7,2,17,17
71,16980,-1,-1,13,2,1,-1,-1,1,7,2,17,17
72,16980,-1,-1,13,1,1,-1,-1,1,7,2,17,17
73,16980,-1,-1,13,2,1,40,1,1,7,2,17,17
74,16980,-1,-1,13,1,1,39,1,1,7,2,17,17
75,17980,-1,-1,12,1,2,43,1,1,3,3,13,13
76,17980,-1,-1,12,2,2,42,1,1,3,3,13,13
77,17980,-1,-1,12,1,2,-1,-1,1,3,3,13,13
78,0,-1,-1,10,2,1,37,4,7,2,3,13,13
79,0,-1,-1,10,1,1,39,4,7,2,3,13,13
80,0,-1,-1,6,2,2,32,5,7,1,3,13,13
81,26620,-1,-1,13,2,2,43,4,4,2,3,1,1
82,26620,-1,-1,13,2,2,39,6,4,2,3,1,1
83,33860,-1,-1,9,1,1,39,3,6,1,3,1,1
84,22520,-1,-1,6,2,1,42,5,7,1,3,1,1
85,22520,-1,-1,15,2,1,40,1,1,2,3,1,1
86,22520,-1,-1,15,1,1,39,1,1,2,3,1,1
87,22520,-1,-1,9,2,2,39,5,4,5,3,1,1
88,22520,-1,-1,9,2,2,37,6,4,5,3,1,1
89,22520,-1,-1,9,1,2,-1,-1,4,5,3,1,1
90,22520,-1,-1,9,1,2,-1,-1,4,5,3,1,1
91,22520,-1,-1,9,1,2,-1,-1,4,5,3,1,1
92,13820,-1,-1,4,2,1,40,3,7,1,3,1,1
93,13820,-1,-1,16,2,1,40,1,1,6,3,1,1
94,13820,-1,-1,16,1,1,39,1,1,6,3,1,1
95,13820,-1,-1,16,1,1,36,6,1,6,3,1,1
96,13820,-1,-1,16,1,1,34,6,1,6,3,1,1
97,13820,-1,-1,16,1,1,39,6,1,6,3,1,1
98,13820,-1,-1,16,2,1,-1,-1,1,6,3,1,1
99,13820,-1,-1,12,1,1,41,4,6,1,3,1,1
100,13820,-1,-1,8,1,1,39,1,1,2,3,1,1
101,13820,-1,-1,8,2,1,39,1,1,2,3,1,1
102,13820,-1,-1,13,2,1,39,1,1,3,3,1,1
103,13820,-1,-1,13,1,1,39,1,1,3,3,1,1
104,13820,-1,-1,13,2,1,35,6,1,3,3,1,1
105,33860,-1,-1,7,2,2,40,5,4,3,3,1,1
106,33860,1,1,7,1,2,39,6,4,3,3,1,1
107,33860,-1,-1,7,1,2,-1,-1,4,3,3,1,1
108,26620,-1,-1,13,2,1,39,4,7,1,3,1,1
109,13820,-1,-1,14,2,1,39,1,1,3,3,1,1
110,13820,-1,-1,14,1,1,39,1,1,3,3,1,1
111,13820,-1,-1,14,1,1,-1,-1,1,3,3,1,1
112,13820,-1,-1,16,1,1,44,1,1,2,3,1,1
113,13820,-1,-1,16,2,1,43,1,1,2,3,1,1
114,22520,-1,-1,13,1,1,39,4,6,5,3,1,1
115,22520,-1,-1,13,2,1,39,6,6,5,3,1,1
116,22520,-1,-1,13,2,1,-1,-1,6,5,3,1,1
117,22520,-1,-1,13,2,1,-1,-1,6,5,3,1,1
118,22520,-1,-1,13,2,1,-1,-1,6,5,3,1,1
119,22520,-1,-1,7,2,6,39,6,4,2,3,1,1
120,22520,-1,-1,7,2,6,-1,-1,4,2,3,1,1
121,13820,-1,-1,7,2,1,37,1,1,6,3,1,1
122,13820,-1,-1,7,1,1,37,1,1,6,3,1,1
123,13820,-1,-1,7,2,1,-1,-1,1,6,3,1,1
124,13820,-1,-1,7,2,1,-1,-1,1,6,3,1,1
125,13820,-1,-1,7,2,1,-1,-1,1,6,3,1,1
126,13820,-1,-1,7,1,1,-1,-1,1,6,3,1,1
127,13820,-1,-1,11,1,1,39,1,1,2,3,1,1
128,13820,-1,-1,11,2,1,39,1,1,2,3,1,1
129,22520,-1,-1,4,2,1,37,4,7,1,3,1,1
130,0,-1,-1,9,2,1,40,4,4,2,3,1,1
131,0,-1,-1,9,1,1,40,6,4,2,3,1,1
132,33860,-1,-1,14,1,2,43,6,6,1,3,1,1
133,26620,-1,-1,8,1,1,42,1,1,2,3,1,1
134,26620,-1,-1,8,2,1,43,1,1,2,3,1,1
135,33660,-1,-1,15,2,1,42,1,1,3,3,1,1
136,33660,-1,-1,15,1,1,40,6,1,3,3,1,1
137,33660,-1,-1,15,1,1,42,1,1,3,3,1,1
138,0,-1,-1,15,2,1,42,1,1,2,3,1,1
139,0,-1,-1,15,1,1,42,1,1,2,3,1,1
140,26620,-1,-1,13,2,1,43,4,7,2,3,1,1
141,26620,-1,-1,13,2,1,43,6,7,2,3,1,1
142,0,-1,-1,7,1,1,41,6,3,3,3,1,1
143,0,-1,-1,7,2,1,39,6,3,3,3,1,1
144,0,-1,-1,7,2,1,-1,-1,3,3,3,1,1
145,0,-1,-1,7,2,2,44,6,7,1,3,1,1
146,0,-1,-1,5,1,7,37,4,6,1,3,1,1
147,22520,-1,-1,15,2,1,43,6,4,2,3,1,1
148,22520,-1,-1,15,1,1,39,6,4,2,3,1,1
149,22520,-1,-1,3,2,2,39,6,4,3,3,1,1
150,22520,-1,-1,3,2,2,-1,-1,4,3,3,1,1
151,22520,-1,-1,3,1,2,-1,-1,4,3,3,1,1
152,0,-1,-1,14,1,1,39,6,6,1,3,1,1
153,0,-1,-1,13,2,1,43,1,2,3,3,1,1
154,0,-1,-1,13,1,1,39,1,2,3,3,1,1
155,0,-1,-1,13,1,1,-1,-1,2,3,3,1,1
156,0,-1,-1,11,1,2,39,6,3,3,3,1,1
157,0,-1,-1,11,2,2,39,6,3,3,3,1,1
158,0,-1,-1,11,1,2,39,6,3,3,3,1,1
159,0,-1,-1,1,1,2,39,6,3,4,3,1,1
160,0,-1,-1,1,1,2,39,1,3,4,3,1,1
161,0,-1,-1,1,2,2,43,1,3,4,3,1,1
162,0,-1,-1,1,1,2,34,6,3,4,3,1,1
163,0,-1,-1,15,1,1,43,1,1,2,3,1,1
164,0,-1,-1,15,2,1,39,1,1,2,3,1,1
165,26620,-1,-1,15,2,1,42,1,1,3,3,1,1
166,26620,-1,-1,15,1,1,43,1,1,3,3,1,1
167,26620,-1,-1,15,1,1,-1,-1,1,3,3,1,1
168,33660,-1,-1,6,2,1,41,3,7,1,3,1,1
169,33860,-1,-1,14,2,2,42,3,4,4,3,1,1
170,33860,-1,-1,14,2,2,41,6,4,4,3,1,1
171,33860,-1,-1,14,2,2,35,6,4,4,3,1,1
172,33860,-1,-1,14,2,2,-1,-1,4,4,3,1,1
173,12220,-1,-1,3,2,1,40,6,7,2,3,1,1
174,12220,-1,-1,3,2,1,40,6,7,2,3,1,1
175,26620,-1,-1,16,1,2,44,4,6,1,3,1,1
176,0,-1,-1,13,2,2,44,1,1,2,3,1,1
177,0,-1,-1,13,1,2,41,1,1,2,3,1,1
178,13820,-1,-1,10,1,2,44,6,6,1,3,1,1
179,22520,-1,-1,7,2,2,40,6,7,1,3,1,1
180,12220,-1,-1,15,2,2,46,6,7,1,3,1,1
181,12220,-1,-1,12,1,1,39,3,6,1,3,1,1
182,0,-1,-1,14,1,1,39,1,1,2,3,1,1
183,0,-1,-1,14,2,1,40,1,1,2,3,1,1
184,0,-1,-1,7,1,1,40,6,6,1,3,1,1
185,12220,-1,-1,9,2,2,40,6,4,2,3,1,1
186,12220,-1,-1,9,1,2,40,6,4,2,3,1,1
187,33660,-1,-1,15,2,2,40,1,1,5,3,1,1
188,33660,-1,-1,15,1,2,40,1,1,5,3,1,1
189,33660,-1,-1,15,1,2,34,6,1,5,3,1,1
190,33660,-1,-1,15,2,2,-1,-1,1,5,3,1,1
191,33660,-1,-1,15,1,2,-1,-1,1,5,3,1,1
192,0,-1,-1,14,1,1,41,1,1,2,3,1,1
193,0,-1,-1,14,2,1,39,1,1,2,3,1,1
194,33660,-1,-1,7,1,2,35,1,1,2,3,1,1
