,GTCBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,GEREG,GESTFIPS,state
0,0,-1,-1,15,2,1,46,2,7,1,1,50,50
1,41860,-1,-1,13,2,1,44,6,7,1,4,6,6
2,26620,-1,-1,12,2,1,43,2,7,1,3,1,1
3,24540,-1,-1,15,2,1,43,1,1,4,4,8,8
4,24540,-1,-1,15,1,1,43,1,1,4,4,8,8
5,24540,-1,-1,15,2,1,-1,-1,1,4,4,8,8
6,24540,-1,-1,15,2,1,-1,-1,1,4,4,8,8
7,22900,-1,-1,14,1,1,39,1,1,4,3,5,5
8,22900,-1,-1,14,2,1,37,1,1,4,3,5,5
9,22900,-1,-1,14,1,1,34,6,1,4,3,5,5
10,22900,-1,-1,14,2,1,-1,-1,1,4,3,5,5
11,0,-1,-1,14,2,3,40,6,4,3,4,2,2
12,0,-1,-1,14,1,3,-1,-1,4,3,4,2,2
13,0,-1,-1,14,2,10,-1,-1,4,3,4,2,2
14,41180,-1,-1,12,2,1,40,1,1,2,2,17,17
15,41180,-1,-1,12,1,1,40,1,1,2,2,17,17
16,30780,-1,-1,10,2,1,40,1,1,2,3,5,5
17,30780,-1,-1,10,1,1,37,1,1,2,3,5,5
18,0,-1,-1,11,1,2,40,4,6,1,2,29,29
19,0,-1,-1,15,1,1,34,1,1,5,2,39,39
20,0,-1,-1,15,2,1,34,1,1,5,2,39,39
21,0,-1,-1,15,2,1,-1,-1,1,5,2,39,39
22,0,-1,-1,15,1,1,-1,-1,1,5,2,39,39
23,0,-1,-1,15,2,1,-1,-1,1,5,2,39,39
24,12220,-1,-1,13,1,1,41,6,6,1,3,1,1
25,0,-1,-1,6,1,1,43,6,6,1,3,1,1
26,0,-1,-1,15,2,1,43,1,2,3,4,2,2
27,0,-1,-1,15,1,1,43,1,2,3,4,2,2
28,0,-1,-1,15,1,1,-1,-1,2,3,4,2,2
29,19820,-1,-1,6,2,1,39,3,7,1,2,26,26
30,19740,-1,-1,2,1,1,43,4,6,1,4,8,8
31,12020,-1,-1,14,1,1,39,1,1,3,3,13,13
32,12020,-1,-1,14,2,1,46,1,1,3,3,13,13
33,12020,-1,-1,14,1,1,36,6,1,3,3,13,13
34,0,-1,-1,14,1,1,39,1,1,2,3,1,1
35,0,-1,-1,14,2,1,43,1,1,2,3,1,1
36,0,-1,-1,12,1,1,39,4,6,1,3,5,5
37,16980,-1,-1,3,2,1,41,6,7,1,2,17,17
38,48700,-1,-1,4,1,1,40,6,4,3,1,42,42
39,48700,-1,-1,4,2,1,39,6,4,3,1,42,42
40,48700,-1,-1,4,2,1,-1,-1,4,3,1,42,42
41,24340,-1,-1,13,2,1,40,3,7,2,2,26,26
42,24340,-1,-1,13,1,1,39,3,7,2,2,26,26
43,46700,-1,-1,6,2,1,39,4,7,1,4,6,6
44,25540,-1,-1,16,1,1,44,1,1,2,1,9,9
45,25540,-1,-1,16,2,1,43,1,1,2,1,9,9
46,21340,-1,-1,12,1,1,42,4,3,3,3,48,48
47,21340,-1,-1,12,1,1,39,4,3,3,3,48,48
48,21340,-1,-1,12,2,1,33,2,3,3,3,48,48
49,13820,-1,-1,12,1,2,39,1,1,2,3,1,1
50,13820,-1,-1,12,2,2,39,1,1,2,3,1,1
51,0,-1,-1,12,1,1,39,1,1,2,4,6,6
52,0,-1,-1,12,2,1,37,1,1,2,4,6,6
53,0,-1,-1,11,2,1,41,1,1,2,4,2,2
54,0,-1,-1,11,1,3,39,1,1,2,4,2,2
55,27740,-1,-1,7,2,1,40,3,7,1,3,47,47
56,11700,-1,-1,13,2,1,36,4,7,2,3,37,37
57,11700,-1,-1,13,1,1,39,4,7,2,3,37,37
58,16980,-1,-1,2,2,2,44,6,4,2,2,18,18
59,16980,-1,-1,2,2,2,39,3,4,2,2,18,18
60,27140,-1,-1,15,1,1,43,1,1,2,3,28,28
61,27140,-1,-1,15,2,1,43,1,1,2,3,28,28
62,0,-1,-1,8,2,1,39,3,7,1,3,5,5
63,13820,-1,-1,15,1,1,41,1,1,2,3,1,1
64,13820,-1,-1,15,2,1,39,1,1,2,3,1,1
