,GTCBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,GEREG,GESTFIPS,state
0,26620,-1,-1,10,2,1,42,4,7,1,3,1,1
1,49740,-1,-1,8,1,3,40,4,3,2,4,4,4
2,49740,-1,-1,8,1,1,-1,-1,3,2,4,4,4
3,24540,-1,-1,16,1,1,40,1,1,4,4,8,8
4,24540,-1,-1,16,2,1,43,1,1,4,4,8,8
5,24540,-1,-1,16,1,1,-1,-1,1,4,4,8,8
6,24540,-1,-1,16,2,1,-1,-1,1,4,4,8,8
7,30780,-1,-1,13,1,4,46,1,1,2,3,5,5
8,30780,-1,-1,13,2,4,40,1,1,2,3,5,5
9,30780,-1,-1,9,2,1,39,6,4,3,3,5,5
10,30780,-1,-1,9,1,1,39,6,4,3,3,5,5
11,30780,-1,-1,9,2,1,-1,-1,4,3,3,5,5
12,35620,-1,-1,15,2,1,44,4,7,1,1,34,34
13,0,-1,-1,9,2,3,39,1,1,2,4,2,2
14,0,-1,-1,9,1,1,40,1,1,2,4,2,2
15,12420,-1,-1,16,1,1,43,1,1,3,3,48,48
16,12420,-1,-1,16,2,1,43,1,1,3,3,48,48
17,12420,-1,-1,16,2,1,-1,-1,1,3,3,48,48
18,0,-1,-1,13,1,1,41,4,3,3,3,1,1
19,0,-1,-1,13,2,1,39,6,3,3,3,1,1
20,0,-1,-1,13,2,6,-1,-1,3,3,3,1,1
21,16980,-1,-1,14,1,1,43,1,1,3,2,17,17
22,16980,-1,-1,14,2,1,43,1,1,3,2,17,17
23,16980,-1,-1,14,2,1,-1,-1,1,3,2,17,17
24,24340,-1,-1,8,1,2,44,4,6,1,2,26,26
25,0,-1,-1,11,2,1,42,3,4,4,3,21,21
26,0,-1,-1,11,2,1,35,6,4,4,3,21,21
27,0,-1,-1,11,2,1,-1,-1,4,4,3,21,21
28,0,-1,-1,11,1,1,-1,-1,4,4,3,21,21
29,0,-1,-1,16,1,1,43,1,1,2,3,5,5
30,0,-1,-1,16,2,1,43,1,1,2,3,5,5
31,34980,-1,-1,15,1,2,43,1,1,3,3,47,47
32,34980,-1,-1,15,2,2,44,1,1,3,3,47,47
33,34980,-1,-1,15,2,2,40,6,1,3,3,47,47
34,40420,-1,-1,11,2,1,43,1,1,2,2,17,17
35,40420,-1,-1,11,1,1,43,1,1,2,2,17,17
36,26620,-1,-1,14,1,1,44,3,6,1,3,1,1
37,20700,-1,-1,13,2,1,40,6,7,2,1,42,42
38,20700,-1,-1,13,1,6,42,6,7,2,1,42,42
39,39820,-1,-1,6,1,1,40,4,6,1,4,6,6
40,16980,-1,-1,1,2,1,39,6,4,4,2,17,17
41,16980,-1,-1,1,1,1,39,6,4,4,2,17,17
42,16980,-1,-1,1,1,1,-1,-1,4,4,2,17,17
43,16980,-1,-1,1,1,1,-1,-1,4,4,2,17,17
44,16980,-1,-1,16,2,1,40,1,1,4,2,18,18
45,16980,-1,-1,16,1,1,40,1,1,4,2,18,18
46,16980,-1,-1,16,2,1,-1,-1,1,4,2,18,18
47,16980,-1,-1,16,1,1,39,6,1,4,2,18,18
48,16980,-1,-1,15,1,1,40,1,1,2,2,18,18
49,16980,-1,-1,15,2,1,39,1,1,2,2,18,18
50,16980,-1,-1,6,2,1,39,4,7,1,2,18,18
51,16740,-1,-1,15,1,1,43,1,1,2,3,37,37
52,16740,-1,-1,15,1,1,43,1,1,2,3,37,37
53,0,-1,-1,10,1,3,34,6,3,5,4,2,2
54,0,-1,-1,10,2,1,43,6,3,5,4,2,2
55,0,-1,-1,10,2,3,-1,-1,3,5,4,2,2
56,0,-1,-1,10,2,3,-1,-1,3,5,4,2,2
57,0,-1,-1,10,1,3,-1,-1,3,5,4,2,2
58,48620,-1,-1,14,1,1,42,6,3,3,2,20,20
59,48620,-1,-1,14,2,1,42,6,3,3,2,20,20
60,48620,-1,-1,14,2,1,-1,-1,3,3,2,20,20
61,0,-1,-1,9,2,1,40,6,7,2,2,20,20
62,0,-1,-1,9,2,1,40,6,7,2,2,20,20
63,48620,-1,-1,15,1,1,43,3,3,3,2,20,20
64,48620,-1,-1,15,1,1,-1,-1,3,3,2,20,20
65,48620,-1,-1,15,2,1,-1,-1,3,3,2,20,20
66,0,-1,-1,15,1,1,43,1,1,2,4,30,30
67,0,-1,-1,15,2,1,40,1,1,2,4,30,30
68,0,-1,-1,16,2,1,40,1,1,3,4,30,30
69,0,-1,-1,16,1,1,39,1,1,3,4,30,30
70,0,-1,-1,16,1,1,-1,-1,1,3,4,30,30
71,0,-1,-1,11,2,1,39,1,1,2,3,40,40
72,0,-1,-1,11,1,1,39,1,1,2,3,40,40
73,0,-1,-1,9,2,1,43,6,7,1,2,19,19
74,16980,-1,-1,14,2,1,40,1,1,7,2,17,17
