,GTCBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,GEREG,GESTFIPS,state
0,38220,-1,-1,11,1,1,39,1,1,2,3,5,5
1,38220,-1,-1,11,2,1,39,1,1,2,3,5,5
2,0,-1,-1,16,2,1,43,1,1,3,4,2,2
3,0,-1,-1,16,1,1,43,1,1,3,4,2,2
4,0,-1,-1,16,2,1,-1,-1,1,3,4,2,2
5,30780,-1,-1,14,2,1,41,6,7,1,3,5,5
6,30780,-1,-1,13,1,1,40,1,1,4,3,5,5
7,30780,-1,-1,13,2,1,39,1,1,4,3,5,5
8,30780,-1,-1,13,2,1,42,4,1,4,3,5,5
9,30780,-1,-1,13,2,1,-1,-1,1,4,3,5,5
10,44700,-1,-1,9,2,2,43,6,4,3,4,6,6
11,44700,-1,-1,9,1,2,-1,-1,4,3,4,6,6
12,44700,-1,-1,9,1,2,-1,-1,4,3,4,6,6
13,23580,-1,-1,16,2,2,43,4,4,2,3,13,13
14,23580,-1,-1,16,2,2,39,4,4,2,3,13,13
15,35620,-1,-1,15,2,1,44,4,7,1,1,34,34
16,0,-1,-1,13,2,3,39,6,4,3,4,2,2
17,0,-1,-1,13,1,3,39,6,4,3,4,2,2
18,0,-1,-1,13,2,3,-1,-1,4,3,4,2,2
19,32820,-1,-1,4,2,1,35,1,1,2,3,47,47
20,32820,-1,-1,4,1,1,35,1,1,2,3,47,47
21,0,-1,-1,16,1,1,40,1,1,2,2,27,27
22,0,-1,-1,16,2,1,39,1,1,2,2,27,27
23,19740,-1,-1,1,1,1,39,6,6,1,4,8,8
24,47900,-1,-1,15,1,2,43,6,6,1,3,24,24
25,19820,-1,-1,6,2,1,39,3,7,1,2,26,26
26,0,-1,-1,10,2,1,44,1,1,2,3,21,21
27,0,-1,-1,10,1,1,34,1,1,2,3,21,21
28,12020,-1,-1,14,1,1,39,1,1,3,3,13,13
29,12020,-1,-1,14,2,1,46,1,1,3,3,13,13
30,12020,-1,-1,14,1,1,36,6,1,3,3,13,13
31,0,-1,-1,12,1,1,39,3,6,1,3,5,5
32,16980,-1,-1,3,2,1,41,6,7,1,2,17,17
33,16980,-1,-1,11,2,1,43,6,7,1,2,17,17
34,0,-1,-1,1,2,1,35,3,7,1,3,5,5
35,0,-1,-1,12,2,1,41,6,7,1,1,50,50
36,31080,-1,-1,15,1,1,39,4,3,2,4,6,6
37,31080,-1,-1,15,1,1,43,6,3,2,4,6,6
38,22520,-1,-1,16,2,1,43,1,1,4,3,1,1
39,22520,-1,-1,16,1,1,44,1,1,4,3,1,1
40,22520,-1,-1,16,2,1,-1,-1,1,4,3,1,1
41,22520,-1,-1,16,1,1,-1,-1,1,4,3,1,1
42,40140,-1,-1,14,1,1,40,1,1,3,4,6,6
43,40140,-1,-1,14,1,1,39,6,1,3,4,6,6
44,40140,-1,-1,14,2,1,40,1,1,3,4,6,6
45,27740,-1,-1,7,2,1,42,3,7,1,3,47,47
46,11700,-1,-1,13,2,1,43,3,7,1,3,37,37
47,16980,-1,-1,8,1,1,35,1,1,5,2,17,17
48,16980,-1,-1,8,2,1,33,1,1,5,2,17,17
49,16980,-1,-1,8,2,1,39,6,1,5,2,17,17
50,16980,-1,-1,8,2,1,-1,-1,1,5,2,17,17
51,16980,-1,-1,8,1,1,-1,-1,1,5,2,17,17
52,27140,-1,-1,6,1,4,39,1,1,3,3,28,28
53,27140,-1,-1,6,2,4,39,1,1,3,3,28,28
54,27140,-1,-1,6,1,4,-1,-1,1,3,3,28,28
