,GTCBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,GEREG,GESTFIPS,state
0,0,-1,-1,15,2,1,46,2,7,1,1,50,50
1,41860,-1,-1,13,2,1,44,6,7,1,4,6,6
2,24540,-1,-1,15,2,1,43,1,1,4,4,8,8
3,24540,-1,-1,15,1,1,43,1,1,4,4,8,8
4,24540,-1,-1,15,2,1,-1,-1,1,4,4,8,8
5,24540,-1,-1,15,2,1,-1,-1,1,4,4,8,8
6,22900,-1,-1,14,1,1,39,1,1,4,3,5,5
7,22900,-1,-1,14,2,1,37,1,1,4,3,5,5
8,22900,-1,-1,14,1,1,34,6,1,4,3,5,5
9,22900,-1,-1,14,2,1,-1,-1,1,4,3,5,5
10,32820,-1,-1,4,2,1,35,1,1,2,3,47,47
11,32820,-1,-1,4,1,1,35,1,1,2,3,47,47
12,41180,-1,-1,12,2,1,40,1,1,2,2,17,17
13,41180,-1,-1,12,1,1,40,1,1,2,2,17,17
14,0,-1,-1,15,1,1,34,1,1,5,2,39,39
15,0,-1,-1,15,2,1,34,1,1,5,2,39,39
16,0,-1,-1,15,2,1,-1,-1,1,5,2,39,39
17,0,-1,-1,15,1,1,-1,-1,1,5,2,39,39
18,0,-1,-1,15,2,1,-1,-1,1,5,2,39,39
19,19740,-1,-1,1,1,1,39,6,6,1,4,8,8
20,0,-1,-1,6,1,1,43,6,6,1,3,1,1
21,19820,-1,-1,6,2,1,39,3,7,1,2,26,26
22,0,-1,-1,10,2,1,44,1,1,2,3,21,21
23,0,-1,-1,10,1,1,34,1,1,2,3,21,21
24,12020,-1,-1,14,1,1,39,1,1,3,3,13,13
25,12020,-1,-1,14,2,1,46,1,1,3,3,13,13
26,12020,-1,-1,14,1,1,36,6,1,3,3,13,13
27,0,-1,-1,14,1,1,39,1,1,2,3,1,1
28,0,-1,-1,14,2,1,43,1,1,2,3,1,1
29,0,-1,-1,12,1,1,39,3,6,1,3,5,5
30,16980,-1,-1,3,2,1,41,6,7,1,2,17,17
31,0,-1,-1,1,2,1,35,3,7,1,3,5,5
32,48700,-1,-1,4,1,1,40,6,4,3,1,42,42
33,48700,-1,-1,4,2,1,39,6,4,3,1,42,42
34,48700,-1,-1,4,2,1,-1,-1,4,3,1,42,42
35,24340,-1,-1,13,2,1,40,3,7,2,2,26,26
36,24340,-1,-1,13,1,1,39,3,7,2,2,26,26
37,46700,-1,-1,6,2,1,39,4,7,1,4,6,6
38,19740,-1,-1,7,1,1,43,6,6,1,4,8,8
39,0,-1,-1,12,2,1,40,6,7,1,1,50,50
40,31080,-1,-1,15,1,1,39,4,3,2,4,6,6
41,31080,-1,-1,15,1,1,43,6,3,2,4,6,6
42,0,-1,-1,12,1,1,39,1,1,2,4,6,6
43,0,-1,-1,12,2,1,37,1,1,2,4,6,6
44,30780,-1,-1,14,2,1,44,1,1,2,3,5,5
45,30780,-1,-1,14,1,1,44,1,1,2,3,5,5
46,40140,-1,-1,14,1,1,39,1,1,3,4,6,6
47,40140,-1,-1,14,1,1,39,6,1,3,4,6,6
48,40140,-1,-1,14,2,1,39,1,1,3,4,6,6
49,27740,-1,-1,7,2,1,40,3,7,1,3,47,47
50,16980,-1,-1,2,2,2,44,6,4,2,2,18,18
51,16980,-1,-1,2,2,2,39,3,4,2,2,18,18
52,27140,-1,-1,15,1,1,43,1,1,2,3,28,28
53,27140,-1,-1,15,2,1,43,1,1,2,3,28,28
54,27140,-1,-1,6,1,4,39,1,1,2,3,28,28
55,27140,-1,-1,6,2,4,39,1,1,2,3,28,28
56,16980,-1,-1,14,2,1,40,1,1,2,2,18,18
57,16980,-1,-1,14,1,1,39,1,1,2,2,18,18
58,0,-1,-1,8,2,1,39,3,7,1,3,5,5
59,0,-1,-1,8,1,1,41,4,6,1,3,5,5
60,0,-1,-1,13,1,1,42,1,1,2,1,50,50
61,0,-1,-1,13,2,1,43,1,1,2,1,50,50
62,16740,-1,-1,15,1,1,39,1,1,2,3,37,37
63,16740,-1,-1,15,2,1,43,1,1,2,3,37,37
64,42200,-1,-1,15,1,19,39,6,6,5,4,6,6
