,CBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,REGION,STATE,state
0,22900,-1,-1,11,2,1,39,1,1,4,3,5,5
1,22900,-1,-1,11,1,1,40,1,1,4,3,5,5
2,22900,-1,-1,11,2,1,43,6,1,4,3,5,5
3,22900,-1,-1,11,2,1,39,4,1,4,3,5,5
4,12220,-1,-1,11,2,1,39,1,1,2,3,1,1
5,12220,-1,-1,11,1,1,39,1,1,2,3,1,1
6,0,-1,-1,1,2,2,37,6,4,3,3,1,1
7,0,-1,-1,1,1,2,-1,-1,4,3,3,1,1
8,0,-1,-1,1,2,2,-1,-1,4,3,3,1,1
9,42200,-1,-1,16,1,1,41,1,1,2,4,6,6
10,42200,-1,-1,16,2,1,43,1,1,2,4,6,6
11,26620,-1,-1,13,2,1,42,4,7,1,3,1,1
12,24540,-1,-1,16,1,1,40,1,1,3,4,8,8
13,24540,-1,-1,16,2,1,43,1,1,3,4,8,8
14,24540,-1,-1,16,1,1,-1,-1,1,3,4,8,8
15,30780,-1,-1,14,1,4,46,1,1,2,3,5,5
16,30780,-1,-1,14,2,4,40,1,1,2,3,5,5
17,0,-1,-1,15,1,1,39,1,1,5,4,2,2
18,0,-1,-1,15,2,1,39,1,1,5,4,2,2
19,0,-1,-1,15,2,1,-1,-1,1,5,4,2,2
20,0,-1,-1,15,2,1,-1,-1,1,5,4,2,2
21,0,-1,-1,15,1,1,-1,-1,1,5,4,2,2
22,35620,-1,-1,15,2,1,44,4,7,1,1,34,34
23,46520,-1,-1,14,2,8,39,6,4,8,4,15,15
24,46520,-1,-1,14,1,15,41,6,4,8,4,15,15
25,46520,-1,-1,14,1,21,37,6,4,8,4,15,15
26,46520,-1,-1,14,1,21,-1,-1,4,8,4,15,15
27,46520,-1,-1,14,2,21,-1,-1,4,8,4,15,15
28,46520,-1,-1,14,1,21,-1,-1,4,8,4,15,15
29,46520,-1,-1,14,1,9,36,6,4,8,4,15,15
30,46520,-1,-1,14,1,9,-1,-1,4,8,4,15,15
31,0,-1,-1,12,1,1,41,4,3,3,3,1,1
32,0,-1,-1,12,2,1,39,6,3,3,3,1,1
33,0,-1,-1,12,2,6,-1,-1,3,3,3,1,1
34,22220,-1,-1,13,2,1,39,1,1,7,3,5,5
35,22220,-1,-1,13,1,1,36,1,1,7,3,5,5
36,22220,-1,-1,13,1,1,37,6,1,7,3,5,5
37,22220,-1,-1,13,1,1,34,6,1,7,3,5,5
38,22220,-1,-1,13,1,1,-1,-1,1,7,3,5,5
39,22220,-1,-1,13,2,1,-1,-1,1,7,3,5,5
40,22220,-1,-1,13,1,1,-1,-1,1,7,3,5,5
41,0,-1,-1,16,1,1,45,6,6,1,4,2,2
42,30780,-1,-1,10,1,1,39,1,1,4,3,5,5
43,30780,-1,-1,10,2,1,37,1,1,4,3,5,5
44,30780,-1,-1,10,1,1,39,1,1,4,3,5,5
45,30780,-1,-1,10,2,1,39,1,1,4,3,5,5
46,0,-1,-1,12,2,3,43,1,1,5,4,2,2
47,0,-1,-1,12,1,1,40,1,1,5,4,2,2
48,0,-1,-1,12,1,3,36,6,1,5,4,2,2
49,0,-1,-1,12,1,3,-1,-1,1,5,4,2,2
50,0,-1,-1,12,1,3,-1,-1,1,5,4,2,2
51,16980,-1,-1,14,1,1,43,1,1,4,2,17,17
52,16980,-1,-1,14,2,1,43,1,1,4,2,17,17
53,16980,-1,-1,14,2,1,-1,-1,1,4,2,17,17
54,16980,-1,-1,14,2,1,-1,-1,1,4,2,17,17
55,16980,-1,-1,11,2,1,43,6,7,1,2,17,17
56,36420,-1,-1,9,2,1,40,1,1,6,3,40,40
57,36420,-1,-1,9,1,1,45,1,1,6,3,40,40
58,36420,-1,-1,9,2,1,40,6,1,6,3,40,40
59,36420,-1,-1,9,1,1,39,6,1,6,3,40,40
60,36420,-1,-1,9,1,1,-1,-1,1,6,3,40,40
61,36420,-1,-1,9,2,1,-1,-1,1,6,3,40,40
62,0,-1,-1,6,1,6,40,6,6,1,3,5,5
63,30780,-1,-1,7,1,2,39,6,6,3,3,5,5
64,30780,-1,-1,7,2,2,39,6,6,3,3,5,5
65,30780,-1,-1,7,1,2,39,6,6,3,3,5,5
66,41860,-1,-1,16,1,1,42,1,1,2,4,6,6
