,CBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,REGION,STATE,state
0,38220,-1,-1,11,1,1,39,1,1,2,3,5,5
1,38220,-1,-1,11,2,1,39,1,1,2,3,5,5
2,0,-1,-1,16,2,1,43,1,1,3,4,2,2
3,0,-1,-1,16,1,1,43,1,1,3,4,2,2
4,0,-1,-1,16,2,1,-1,-1,1,3,4,2,2
5,12220,-1,-1,11,2,1,39,1,1,2,3,1,1
6,12220,-1,-1,11,1,1,39,1,1,2,3,1,1
7,0,-1,-1,1,2,2,37,6,4,3,3,1,1
8,0,-1,-1,1,1,2,-1,-1,4,3,3,1,1
9,0,-1,-1,1,2,2,-1,-1,4,3,3,1,1
10,26620,-1,-1,13,2,1,42,4,7,1,3,1,1
11,24540,-1,-1,16,1,1,40,1,1,3,4,8,8
12,24540,-1,-1,16,2,1,43,1,1,3,4,8,8
13,24540,-1,-1,16,1,1,-1,-1,1,3,4,8,8
14,30780,-1,-1,13,1,1,40,1,1,4,3,5,5
15,30780,-1,-1,13,2,1,39,1,1,4,3,5,5
16,30780,-1,-1,13,2,1,42,4,1,4,3,5,5
17,30780,-1,-1,13,2,1,-1,-1,1,4,3,5,5
18,30780,-1,-1,14,1,4,46,1,1,2,3,5,5
19,30780,-1,-1,14,2,4,40,1,1,2,3,5,5
20,44700,-1,-1,9,2,2,43,6,4,3,4,6,6
21,44700,-1,-1,9,1,2,-1,-1,4,3,4,6,6
22,44700,-1,-1,9,1,2,-1,-1,4,3,4,6,6
23,0,-1,-1,15,1,1,39,1,1,5,4,2,2
24,0,-1,-1,15,2,1,39,1,1,5,4,2,2
25,0,-1,-1,15,2,1,-1,-1,1,5,4,2,2
26,0,-1,-1,15,2,1,-1,-1,1,5,4,2,2
27,0,-1,-1,15,1,1,-1,-1,1,5,4,2,2
28,23580,-1,-1,16,2,2,43,4,4,2,3,13,13
29,23580,-1,-1,16,2,2,39,4,4,2,3,13,13
30,35620,-1,-1,15,2,1,44,4,7,1,1,34,34
31,22220,-1,-1,13,2,1,39,1,1,7,3,5,5
32,22220,-1,-1,13,1,1,37,1,1,7,3,5,5
33,22220,-1,-1,13,1,1,37,6,1,7,3,5,5
34,22220,-1,-1,13,1,1,34,6,1,7,3,5,5
35,22220,-1,-1,13,1,1,-1,-1,1,7,3,5,5
36,22220,-1,-1,13,2,1,-1,-1,1,7,3,5,5
37,22220,-1,-1,13,1,1,-1,-1,1,7,3,5,5
38,30780,-1,-1,10,1,1,37,1,1,4,3,5,5
39,30780,-1,-1,10,2,1,39,1,1,4,3,5,5
40,30780,-1,-1,10,1,1,39,1,1,4,3,5,5
41,30780,-1,-1,10,2,1,39,1,1,4,3,5,5
42,16980,-1,-1,14,1,1,43,1,1,4,2,17,17
43,16980,-1,-1,14,2,1,43,1,1,4,2,17,17
44,16980,-1,-1,14,2,1,-1,-1,1,4,2,17,17
45,16980,-1,-1,14,2,1,-1,-1,1,4,2,17,17
46,16980,-1,-1,11,2,1,43,6,7,1,2,17,17
47,36420,-1,-1,9,2,1,40,1,1,6,3,40,40
48,36420,-1,-1,9,1,1,45,1,1,6,3,40,40
49,36420,-1,-1,9,2,1,40,6,1,6,3,40,40
50,36420,-1,-1,9,1,1,39,6,1,6,3,40,40
51,36420,-1,-1,9,1,1,-1,-1,1,6,3,40,40
52,36420,-1,-1,9,2,1,-1,-1,1,6,3,40,40
53,0,-1,-1,11,2,1,41,2,7,1,3,1,1
54,37100,-1,-1,14,2,1,42,1,1,6,4,6,6
