,CBSA,PELAYFTO,PELAYDUR,HEFAMINC,PESEX,PTDTRACE,PEEDUCA,PEMARITL,HRHTYPE,HRNUMHOU,REGION,STATE,state
0,22900,-1,-1,11,2,1,39,1,1,5,3,5,5
1,22900,-1,-1,11,1,1,40,1,1,5,3,5,5
2,22900,-1,-1,11,2,1,43,6,1,5,3,5,5
3,22900,-1,-1,11,2,1,39,4,1,5,3,5,5
4,22900,-1,-1,11,1,6,39,6,1,5,3,5,5
5,12220,-1,-1,11,2,1,39,1,1,2,3,1,1
6,12220,-1,-1,11,1,1,39,1,1,2,3,1,1
7,0,-1,-1,8,1,1,39,6,6,2,1,50,50
8,0,-1,-1,8,2,1,43,4,6,2,1,50,50
9,19740,-1,-1,10,2,1,40,4,7,1,4,8,8
10,0,-1,-1,1,2,2,37,6,4,3,3,1,1
11,0,-1,-1,1,1,2,-1,-1,4,3,3,1,1
12,0,-1,-1,1,2,2,-1,-1,4,3,3,1,1
13,42200,-1,-1,16,1,1,41,1,1,2,4,6,6
14,42200,-1,-1,16,2,1,43,1,1,2,4,6,6
15,26620,-1,-1,13,2,1,42,4,7,1,3,1,1
16,24540,-1,-1,16,1,1,40,1,1,3,4,8,8
17,24540,-1,-1,16,2,1,43,1,1,3,4,8,8
18,24540,-1,-1,16,1,1,-1,-1,1,3,4,8,8
19,41940,-1,-1,16,1,4,43,1,1,4,4,6,6
20,41940,-1,-1,16,2,4,43,1,1,4,4,6,6
21,41940,-1,-1,16,1,4,40,6,1,4,4,6,6
22,41940,-1,-1,16,1,4,40,6,1,4,4,6,6
23,30780,-1,-1,14,1,4,46,1,1,2,3,5,5
24,30780,-1,-1,14,2,4,40,1,1,2,3,5,5
25,0,-1,-1,15,1,1,39,1,1,5,4,2,2
26,0,-1,-1,15,2,1,39,1,1,5,4,2,2
27,0,-1,-1,15,2,1,-1,-1,1,5,4,2,2
28,0,-1,-1,15,2,1,-1,-1,1,5,4,2,2
29,0,-1,-1,15,1,1,-1,-1,1,5,4,2,2
30,19100,-1,-1,16,2,1,43,1,1,3,3,48,48
31,19100,-1,-1,16,1,1,44,1,1,3,3,48,48
32,19100,-1,-1,16,2,1,40,6,1,3,3,48,48
33,46520,-1,-1,14,2,8,39,6,4,8,4,15,15
34,46520,-1,-1,14,1,15,41,6,4,8,4,15,15
35,46520,-1,-1,14,1,21,37,6,4,8,4,15,15
36,46520,-1,-1,14,1,21,-1,-1,4,8,4,15,15
37,46520,-1,-1,14,2,21,-1,-1,4,8,4,15,15
38,46520,-1,-1,14,1,21,-1,-1,4,8,4,15,15
39,46520,-1,-1,14,1,9,36,6,4,8,4,15,15
40,46520,-1,-1,14,1,9,-1,-1,4,8,4,15,15
41,13820,-1,-1,13,1,1,43,1,1,2,3,1,1
42,13820,-1,-1,13,2,1,43,1,1,2,3,1,1
43,0,-1,-1,12,1,1,41,4,3,3,3,1,1
44,0,-1,-1,12,2,1,39,6,3,3,3,1,1
45,0,-1,-1,12,2,6,-1,-1,3,3,3,1,1
46,42220,-1,-1,8,2,1,40,6,7,1,4,6,6
47,22220,-1,-1,13,2,1,39,1,1,7,3,5,5
48,22220,-1,-1,13,1,1,36,1,1,7,3,5,5
49,22220,-1,-1,13,1,1,37,6,1,7,3,5,5
50,22220,-1,-1,13,1,1,34,6,1,7,3,5,5
51,22220,-1,-1,13,1,1,-1,-1,1,7,3,5,5
52,22220,-1,-1,13,2,1,-1,-1,1,7,3,5,5
53,22220,-1,-1,13,1,1,-1,-1,1,7,3,5,5
54,40900,-1,-1,15,2,1,39,1,1,2,4,6,6
55,40900,-1,-1,15,1,1,39,1,1,2,4,6,6
56,0,-1,-1,16,1,1,45,6,6,1,4,2,2
57,19740,-1,-1,13,1,1,40,6,6,3,4,8,8
58,19740,-1,-1,13,1,1,40,6,6,3,4,8,8
59,19740,-1,-1,13,1,1,40,6,6,3,4,8,8
60,33860,-1,-1,13,2,1,43,1,1,2,3,1,1
61,33860,-1,-1,13,1,1,46,1,1,2,3,1,1
62,30780,-1,-1,10,1,1,39,1,1,4,3,5,5
63,30780,-1,-1,10,2,1,37,1,1,4,3,5,5
64,30780,-1,-1,10,1,1,39,1,1,4,3,5,5
65,30780,-1,-1,10,2,1,39,1,1,4,3,5,5
66,44700,-1,-1,9,1,2,39,1,1,2,4,6,6
67,44700,-1,-1,9,2,2,39,1,1,2,4,6,6
68,0,-1,-1,16,2,3,43,1,1,5,4,2,2
69,0,-1,-1,16,1,1,40,1,1,5,4,2,2
70,0,-1,-1,16,1,3,36,6,1,5,4,2,2
71,0,-1,-1,16,1,3,-1,-1,1,5,4,2,2
72,0,-1,-1,16,1,3,-1,-1,1,5,4,2,2
73,16980,-1,-1,14,1,1,43,1,1,4,2,17,17
74,16980,-1,-1,14,2,1,43,1,1,4,2,17,17
75,16980,-1,-1,14,2,1,-1,-1,1,4,2,17,17
76,16980,-1,-1,14,2,1,-1,-1,1,4,2,17,17
77,36420,-1,-1,9,2,1,40,1,1,6,3,40,40
78,36420,-1,-1,9,1,1,45,1,1,6,3,40,40
79,36420,-1,-1,9,2,1,40,6,1,6,3,40,40
80,36420,-1,-1,9,1,1,39,6,1,6,3,40,40
81,36420,-1,-1,9,1,1,-1,-1,1,6,3,40,40
82,36420,-1,-1,9,2,1,-1,-1,1,6,3,40,40
83,40140,-1,-1,16,1,1,42,1,1,2,4,6,6
84,40140,-1,-1,16,2,1,43,1,1,2,4,6,6
85,0,-1,-1,12,2,1,39,3,7,1,1,50,50
86,0,-1,-1,11,2,1,41,2,7,1,3,1,1
